Row, Timestamp, Series 1, Series 2, Series 3
0   , 0.335, , 0      , 3041   
1   , 0.350, , 0      , 3039   
2   , 0.360, , 0      , 3039   
3   , 0.370, , 0      , 3041   
4   , 0.381, , 0      , 3040   
5   , 0.392, , 0      , 3040   
6   , 0.402, , 0      , 3041   
7   , 0.412, , 0      , 3042   
8   , 0.426, , 0      , 3040   
9   , 0.437, , 0      , 3040   
10  , 0.447, , 0      , 3041   
11  , 0.457, , 0      , 3040   
12  , 0.471, , 0      , 3041   
13  , 0.482, , 0      , 3041   
14  , 0.492, , 0      , 3041   
15  , 0.502, , 0      , 3041   
16  , 0.516, , 0      , 3041   
17  , 0.527, , 0      , 3041   
18  , 0.537, , 0      , 3041   
19  , 0.547, , 0      , 3041   
20  , 0.561, , 0      , 3041   
21  , 0.572, , 0      , 3041   
22  , 0.582, , 0      , 3042   
23  , 0.592, , 0      , 3041   
24  , 0.606, , 0      , 3041   
25  , 0.617, , 0      , 3041   
26  , 0.627, , 0      , 3042   
27  , 0.637, , 0      , 3041   
28  , 0.651, , 0      , 3042   
29  , 0.662, , 0      , 3042   
30  , 0.672, , 0      , 3041   
31  , 0.682, , 0      , 3041   
32  , 0.696, , 0      , 3041   
33  , 0.707, , 0      , 3041   
34  , 0.717, , 0      , 3041   
35  , 0.727, , 0      , 3042   
36  , 0.741, , 0      , 3042   
37  , 0.752, , 0      , 3042   
38  , 0.762, , 0      , 3042   
39  , 0.772, , 0      , 3042   
40  , 0.786, , 0      , 3042   
41  , 0.797, , 0      , 3042   
42  , 0.807, , 0      , 3042   
43  , 0.817, , 0      , 3040   
44  , 0.831, , 0      , 3041   
45  , 0.842, , 0      , 3041   
46  , 0.852, , 0      , 3040   
47  , 0.862, , 0      , 3042   
48  , 0.876, , 0      , 3041   
49  , 0.887, , 0      , 3041   
50  , 0.897, , 0      , 3041   
51  , 0.907, , 0      , 3041   
52  , 0.921, , 0      , 3041   
53  , 0.932, , 0      , 3041   
54  , 0.942, , 0      , 3041   
55  , 0.952, , 0      , 3041   
56  , 0.966, , 0      , 3042   
57  , 0.977, , 0      , 3042   
58  , 0.987, , 0      , 3041   
59  , 0.997, , 0      , 3040   
60  , 1.011, , 0      , 3040   
61  , 1.022, , 0      , 3040   
62  , 1.032, , 0      , 3041   
63  , 1.042, , 0      , 3040   
64  , 1.052, , 0      , 3040   
65  , 1.062, , 0      , 3041   
66  , 1.072, , 0      , 3042   
67  , 1.086, , 0      , 3041   
68  , 1.097, , 0      , 3041   
69  , 1.107, , 0      , 3041   
70  , 1.117, , 0      , 3042   
71  , 1.131, , 0      , 3041   
72  , 1.142, , 0      , 3041   
73  , 1.152, , 0      , 3042   
74  , 1.162, , 0      , 3042   
75  , 1.176, , 0      , 3041   
76  , 1.187, , 0      , 3041   
77  , 1.197, , 0      , 3041   
78  , 1.207, , 0      , 3040   
79  , 1.221, , 0      , 3041   
80  , 1.232, , 0      , 3041   
81  , 1.242, , 0      , 3041   
82  , 1.252, , 0      , 3040   
83  , 1.266, , 0      , 3040   
84  , 1.277, , 0      , 3040   
85  , 1.287, , 0      , 3040   
86  , 1.297, , 0      , 3041   
87  , 1.311, , 0      , 3041   
88  , 1.322, , 0      , 3041   
